Decade,Date,Total Bison Population,Natural Pressures on Bison,Social Pressures on Bison,Economics,Legislation Concerning Bison,Recovery Efforts,References,,Full citation,,,,,,,
,23 million years ago,,,,,,,,,"[WICA] Wind Cave National Park. 2006. Bison managment plan. National Park Service, U.S Department of the Interior. 1-71. https://www.nps.gov/wica/learn/management/upload/Bison-Management-Plan-12-01-final.pdf",,,Count of Events by Decade,,,,
,22 million years ago,,Most recent ancestor to the Bovidae,,,,,"Badgley et al., 2008; Bibi, 2013",,"21st Congress. 1820. Indian Removal Act. Chap. 148. 1-8, United States of America. <https://memory.loc.gov/cgi-bin/ampage?collId=llsl&fileName=004/llsl004.db&recNum=458>",,,Natural,Social,Economic,Legislation,Recovery
,17.7 million years ago,,Most recent ancestor to the Bovinae,,,,,"Badgley et al., 2008; Bibi, 2013",,"37th Congress II. 1862. The Pacific Railway Act. Volume 12 Ch. 119-120, Stat. 489., United States of America.",,Pre-European Contact,13,18,3,0,0
,8.9 million years ago,,"Most recent ancestor to the Bovini.

Grassland expansion in North America",,,,,"Bibi, 2013",,"53rd Congress-2nd Session. 1894. Lacey Yellowstone Protection Act. Vol. 28, Chap. 72. 73-75, United States of America. <https://www.loc.gov/law/help/statutes-at-large/53rd-congress/session-2/c53s2ch72.pdf>. Accessed 29 May 2019.",,900-1799,3,14,3,0,0
,5.3 million years ago,,,,,,,"Barnosky, 2014",,"59th Congress. 1906. Antiquities Act of 1906. 16 U.S.C. 34 Stat. 225., ch. 3060, §2, United States of America.

",,1800-1829,0,4,5,2,0
,4.57 million years ago,,The Bison-Bos clade radiates from the bovini tribe in Africa and southern Asia,,,,,"Bibi, 2013; Khan et al., 2010",,"77th Congress. 1941. Declaration of state of war with Japan. 55 Stat. 795, United States of America. <https://www.senate.gov/artandhistory/history/resources/pdf/SJRES116_WWII_Japan.pdf>. Accessed 9 Jun 2019.",,1830-1839,0,3,2,1,1
,3.3 million years ago,,Bison evolve from Bison-Bos clade; sensu Bison sivalensis,,,,,"Khan et al., 2010; Pucek et al., 2002",,"81st Congress. 1950. National Science Foundation Act of 1950. ch. 171, §2, 64 Stat. 149. <http://uscode.house.gov/statviewer.htm?volume=64&page=149>. Accessed 10 Jun 2019.",,1840-1849,0,2,3,2,0
,2.6 million years ago,,,,,,,"Barnosky, 2014",,83rd Texas Legislature. 2013. Act of May 10. S.B. 174. Texas.<https://capitol.texas.gov/BillLookup/History.aspx?LegSess=83R&Bill=SB174>. Accessed 6 Jun 2019.,,1850-1859,0,1,1,0,0
,2 million years ago,,"Bison priscus arises from B. sivalensis in the Siwaliks, Pakistan",,,,,"McDonald, 1981; Pucek et al., 2002",,94th Congress. 1976. Designation of Wilderness Areas Within the National Wildlife Refuge System. 90 Stat. 2633. <http://uscode.house.gov/statutes/pl/94/557.pdf>. Accessed 7 Jun 2019.,,1860-1869,0,5,3,2,2
,1.8 million years ago,,,First Hominids out of Africa,,,,"Dennell,R., Roebroeks, W. 2005; Derricourt, 2005",,"Adams, S.M. and Dood, A.R. 2011. Background Information on Issues of Concern for Montana: Plains Bison Ecology, Managment, and Conservation. Montana Fish, Wildlife, and Parks, Boeman, Montana. ",,1870-1879,1,8,6,9,7
