OID,longitude,latitude,code,observation,sitenumber,sitename,unit,sitetypeshortremarks,elevation(masl),youngdatebp,olddatebp,year,month,day,archaeologicalcultureperiod,Country,States.Provinces,US.counties,NISP,MNI,species,specimenID,References,,Reference_number,Reference_citation
1,-163.440205,65.80523,3,20918,13712,"Trail Creek Caves, [BEN-001]",,,350.220459,19600,19600,-17650,NA,NA,,United States of America,Alaska,Northwest Arctic,15,4,Bison sp,,"1002, 1312, 1313",,1,"Aaberg, S.A. 1975. The Drake site (24YL51): a prehistoric fall-rock shelter in the Yellowstone Valley. Archaeology in Montana 16(3):73-98."
2,-163.440205,65.80523,3,,,Trail Creek Caves [BEN-001],NA,"Trail Creek Cave B, 10-15cm",350.220459,16275,16395,-14325,NA,NA,,United States of America,Alaska,Northwest Arctic,NA,NA,,,"1352, 838",,2,"Aaberg, S.A. 1985. County Line (24MO197): a Warex/Avonlea phase site on the Blackfoot River near its confluence with the Clearwater River, Missoula, Montana. Archaeology in Montana 26(1):52-71."
3,-163.2166667,65.8,3,40906,23642,Trail Creek Cave 9 [AKBEN001],,,257.0040588,410,16100,1540,NA,NA,,United States of America,Alaska,Northwest Arctic,0,1,Bison sp,,739,,3,"Ackerman, R.E. 1996. Kuskokwim drainage, southwestern Alaska. Pages 451-478 in F.H. West, editor. American Beginnings: The Prehistory and Palaeoecology of Beringia. University of Chicago Press, Chicago, Illinois."
4,-162.1333333,66.6,3,28570,17179,Baldwin Peninsula 1 [AKKTZ-VP],,,-4.849245071,23500,30300,-21550,NA,NA,,United States of America,Alaska,Northwest Arctic,0,1,Bison sp,,449,,4,"Ackerman, R.E., D. Georgina, J. Mastrogiuseppe, and A. Ruter. 1997. The archaeology of Lime Hills Cave, southwestern Alaska: a multidisciplinary approach. Programs and Abstracts, Beringian Paleoenvironments Workshop. Florissant, Colorado."
5,-161.85564,67.957655,3,20688,13664,"Kangiguksuk, [XBM-012]",,,302.4182434,372,34820,1578,NA,NA,,United States of America,Alaska,Northwest Arctic,0,2,Bison sp,,"460, 1058",,5,"Adair, M.J. 1982. Spatial patterning at the Two Deer site (14BU55): a preliminary report. Pages 305-355 in P.E. Brockingham, editor. Archaeological Investigations at El Dorado Lake, Butler County, Kansas (Phase III). University of Kansas Museum of Anthropology Project Report Series 51."
6,-158.0833333,67.08333333,3,40509,23455,Epiguruk [AKAMR-VP] [Epiguruk Bluff],,,65.6374588,16770,42580,-14820,NA,NA,,United States of America,Alaska,Northwest Arctic,0,1,?Bison sp,,"461, 482, 45, 462",,6,"Adams, G.F. 1977. The Estuary Bison Pound Site in southwestern Saskatchewan. Mercury Series Archaeology Paper 204, Canadian Museum of Civilization, Ottawa, Ontario."
7,-155.4116667,61.43555556,3,32893,19096,"Cave 1, Lime Hills [AKLIM002]",,,230.3382111,44800,NA,-42850,NA,NA,,United States of America,Alaska,Bethel,0,1,Bison sp,,"3, 317, 318, 4",,7,"Agenbroad, L.D. 1976. Buffalo Jump complexes in Owyhee County, Idaho. Tebiwa 1:1-25."
8,-154.863,69.71563,3,,UAMES 29458,Ikpikpuk River,,alluvial valley,63.4250946,49900,NA,-47950,NA,NA,,United States of America,Alaska,North Slope,1,NA,,,389,,8,"Agenbroad, L.D. 1978. Excavation at the Hot Springs mammoth site: a late Pleistocene animal trap. Transactions of the Nebraska Academy of Sciences 6:127-130."
9,-154.41,70.81,3,,,Ikpikpuk River,NA,NA,-0.28958416,14476,14576,-12526,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,1352,,9,"Agenbroad, L.D. 1978. The Hudson-Meng Site: an Alberta bison kill in the Nebraska High Plains. University Press of America, Washington, D.C."
10,-154.41,70.81,3,,,Ikpikpuk River,NA,NA,-0.28958416,14148,14248,-12198,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,1352,,10,"Agenbroad, L.D., and C.V. Haynes. 1975. Bison bison remains at Murray Springs, Arizona. Kiva 40(4):309-313."
11,-154.41,70.81,3,,,Ikpikpuk River,NA,NA,-0.28958416,13623,13723,-11673,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,1352,,11,"Agenbroad, L.D., and J.I. Mead. 1989. Quaternary geochronology and distribution of Mammuthus on the Colorado Plateau. Geology 17:861-864. "
12,-154.41,70.81,3,,,Ikpikpuk River,NA,NA,-0.28958416,12857,12957,-10907,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,1352,,12,"Ager, T.A. 1975. Late Quaternary environmental history of the Tanana Valley, Alaska. Institute of Polar Studies Report 54, Ohio State University, Columbus, Ohio."
13,-154.41,70.81,3,,,Ikpikpuk River,NA,NA,-0.28958416,12494,12594,-10544,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,1352,,13,"Agogino, G.A., and A. Parrish. 1971. The Fowler-Parrish site: a Folsom campsite in eastern Colorado. Plains Anthropologist 16:111-114."
14,-154.41,70.81,2,,,Ikpikpuk River,NA,NA,-0.28958416,7275,7375,-5325,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,1352,,14,"Agogino, G.A., and W.D. Frankforter. 1960. A Paleo-Indian bison-kill in northwestern Iowa. American Antiquity 25(3):414-415."
15,-153.25,65.1,3,16048,10470,The Palisades Site,,,130.5896606,29541,32627,-27591,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,0,1,Bison priscus,,840,,15,"Ahler, S. 1975. Report to the Midwest Archaeological Center on a field trip in western South Dakota and North Dakota for the purpose of locating and sampling prehistoric lithic source materials. ARC Archive No: WSD-0241."
16,-150.6338889,65.00111111,3,36947,21527,Manley Hot Springs [AKTAN-VP],,,167.0499878,17800,18200,-15850,NA,NA,,United States of America,Alaska,Yukon-Koyukuk,0,1,Bison sp,,"1016, 449",,16,"Ahler, S.A., and E.L. Mehrer. 1984. The KNRI small sites report: test excavations at eight Plains Village archaeological sites in the Knife River Indian Villages National Historic Site. Department of Anthropology and Archaeology Contribution 212, University of North Dakota, Grand Forks, North Dakota."
17,-150.3577778,70.44611111,3,40859,23617,Colville and Ikpikpuk River Site,,,8.209132195,12000,30000,-10050,NA,NA,,United States of America,Alaska,North Slope,0,1,Bison sp,,178,,17,"Ahler, S.A., C.H. Lee, and C.R. Falk. 1981. Cross Ranch archaeology, test excavations at eight sites in the breaks zone, 1980-81 program. Department of Anthropology and Archaeology Contribution 154, University of North Dakota, Grand Forks, North Dakota."
18,-150,61,2,,,Chester Creek [AKTYO-VP],NA,alluvium,-8.172595978,409,589,1541,NA,NA,,United States of America,Alaska,North Slope,NA,NA,,,"1352, 838",,18,"Ahler, S.A., C.R. Falk, and C.M. Johnson. Archaeological investigations at the Medicine Crow site (39BF2), Buffalo County, South Dakota. National Park Service Rocky Mountain Region, Denver, Colorado."
19,-149.900278,61.218056,2,,,Anchorage bison [AKANC-VP],NA,male bison skull with horn sheath,22.12454033,145,205,1805,NA,NA,,United States of America,Alaska,Anchorage,NA,NA,,,"1352, 838",,19,"Ahler, S.A., C.R. Falk, and P.R. Picha. 1982. Cross Ranch archaeology: test excavations at twelve sites in the breaks and upland zones, 1981-82 program. Department of Anthropology and Archaeology Contribution 174, University of North Dakota, Grand Forks, North Dakota."
20,-149.0333333,63.88333333,3,40524,23461,Dry Creek Site [AKHEA005],,,651.8945923,9145,11205,-7195,NA,NA,,United States of America,Alaska,Denali,0,2,Bison priscus,,"12, 565, 1036, 1287, 1287",,20,"Aikens, C.M. 1967. Excavations at Snake Rock Village and the Beaver River No. 2 site. University of Utah Anthropological Papers 87:1-78."
21,-148.0166667,64.81666667,3,39442,22721,Cripple Creek [AKFAI-VP],,,339.7744141,17405,39000,-15455,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,3,Bison sp,,451,,21,"Aikens, C.M. 1970. Hogup Cave. Anthropological Paper 93, University of Utah, Salt Lake City, Utah."
22,-148,64.83333333,3,40739,23552,Fairbanks Area 1 [AKFAI-VP],,,339.7744141,8670,36470,-6720,NA,NA,,United States of America,Alaska,Fairbanks North Star,0,1,Bison priscus,,452,,22,"Aikens, C.M., D.L. Cole, and R. Stuckenrath. 1977. Excavations at Dirty Shame Rockshelter southeastern Oregon. Tebiwa 4:1-29."
